strain,id,flavors,positive,medical,Type,Rating,Flavor
Mountain Girl,1397,"Earthy, Skunk, Sweet","Relaxed, Happy, Creative, Talkative, Uplifted","Depression, Stress",hybrid,4.2,"Earthy,Spicy/Herbal,Sage"
Narnia,1411,"Sweet, Earthy, Citrus","Happy, Creative, Energetic, Uplifted, Focused","Depression, Pain, Stress, Fatigue, Muscle Spasms",sativa,4.8,"Sweet,Citrus,Spicy/Herbal"
Nebula,1412,"Sweet, Earthy, Honey","Euphoric, Happy, Creative, Energetic, Uplifted","Depression, Pain, Stress, Nausea, Headache, Fatigue",hybrid,4.4,"Earthy,Honey,Pungent"
Negra 44,1414,"Sweet, Earthy, Citrus","Relaxed, Hungry, Euphoric, Creative, Energetic","Insomnia, Pain, Lack of Appetite, Headaches, Muscle Spasms",indica,5.0,"Sweet,Earthy,Citrus"
Nepalese,1415,"Earthy, Grapefruit, Sweet","Relaxed, Hungry, Happy, Focused, Giggly","Depression, Pain, Stress, Nausea, Headache, Fatigue",sativa,4.4,"Earthy,Grapefruit,Sweet"
Neptune Kush,1417,"Citrus, Pine, Honey","Relaxed, Hungry, Happy, Uplifted, Giggly","Depression, Insomnia, Pain, Stress, Lack of Appetite, Headache",indica,4.3,"Citrus,Pine,Honey"
Nice Cherry,1422,"Pungent, Berry, Pine","Relaxed, Hungry, Happy, Talkative, Uplifted","Depression, Insomnia, Stress, Lack of Appetite, Headaches",indica,4.6,"Sweet,Berry,Pungent"
Nicole Kush,1423,"Pungent, Earthy, Pine","Relaxed, Euphoric, Sleepy, Giggly","Depression, Insomnia, Cramps, Fatigue, Headaches",indica,4.9,"Pungent,Sweet,Woody"
Night Nurse,1424,"Earthy, Sweet, Diesel","Relaxed, Euphoric, Happy, Tingly, Sleepy","Insomnia, Pain, Stress, Headaches, Muscle Spasms",indica,4.6,"Sweet,Earthy,Diesel"
Night Train,1426,"Pungent, Chemical, Earthy","Relaxed, Euphoric, Uplifted, Tingly, Sleepy","Insomnia, Pain, Stress, Lack of Appetite, Headaches",indica,3.9,"Pepper,Pungent,Chemical"
Nightmare Cookies,1428,"Sweet, Pine, Berry","Relaxed, Euphoric, Happy, Creative, Uplifted","Depression, Pain, Stress, Lack of Appetite, Headaches",hybrid,4.7,"Sweet,Pine,Woody"
Nina Limone,1429,"Lemon, Sweet, Citrus","Euphoric, Happy, Energetic, Talkative, Uplifted","Depression, Pain, Stress",sativa,5.0,"Lemon,Sweet,Citrus"
Ninja Fruit,1430,"Grape, Grapefruit, Sweet","Euphoric, Happy, Talkative, Uplifted, Aroused","Depression, Stress, Lack of Appetite, Headaches, Eye Pressure",hybrid,4.5,"Grape,Citrus,Sweet"
Nordle,1431,"Sweet, Citrus, Pine","Relaxed, Euphoric, Happy, Sleepy","Depression, Insomnia, Pain, Stress, Muscle Spasms",indica,4.4,"Sweet,Citrus,Pungent"
North Indian,1434,"Earthy, Tropical, Woody","Hungry, Happy, Creative, Uplifted, Aroused","Stress, Nausea, Eye Pressure, Muscle Spasms",indica,4.0,"Tropical,Earthy,Woody"
